,PM25,PM25_original,is_missing,hour,day_of_week,day_of_month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,PM25_predicted,PM25_repaired,reconstruction_error,is_anomaly
2025-11-02 00:00:00,9.3,9.3,False,0,6,2,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,,9.3,,False
2025-11-02 01:00:00,10.9,10.9,False,1,6,2,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,,10.9,,False
2025-11-02 02:00:00,9.2,9.2,False,2,6,2,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,,9.2,,False
2025-11-02 03:00:00,5.9,5.9,False,3,6,2,1,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,,5.9,,False
2025-11-02 04:00:00,7.7,7.7,False,4,6,2,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,,7.7,,False
2025-11-02 05:00:00,7.3,7.3,False,5,6,2,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,,7.3,,False
2025-11-02 06:00:00,6.9,6.9,False,6,6,2,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,,6.9,,False
2025-11-02 07:00:00,8.0,8.0,False,7,6,2,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,,8.0,,False
2025-11-02 08:00:00,3.9,3.9,False,8,6,2,1,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,,3.9,,False
2025-11-02 09:00:00,4.6,4.6,False,9,6,2,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,,4.6,,False
2025-11-02 10:00:00,4.9,4.9,False,10,6,2,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,,4.9,,False
2025-11-02 11:00:00,9.3,9.3,False,11,6,2,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,,9.3,,False
2025-11-02 12:00:00,9.0,9.0,False,12,6,2,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,,9.0,,False
2025-11-02 13:00:00,5.6,5.6,False,13,6,2,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,,5.6,,False
2025-11-02 14:00:00,8.9,8.9,False,14,6,2,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,,8.9,,False
2025-11-02 15:00:00,7.2,7.2,False,15,6,2,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,,7.2,,False
2025-11-02 16:00:00,6.2,6.2,False,16,6,2,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,,6.2,,False
2025-11-02 17:00:00,4.2,4.2,False,17,6,2,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,,4.2,,False
2025-11-02 18:00:00,6.7,6.7,False,18,6,2,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,,6.7,,False
2025-11-02 19:00:00,9.1,9.1,False,19,6,2,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,,9.1,,False
2025-11-02 20:00:00,10.1,10.1,False,20,6,2,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,,10.1,,False
