,PM25_complete,PM25_with_gaps,gap_mask,PM25_repaired
2025-11-02 00:00:00,9.3,9.3,False,
2025-11-02 01:00:00,10.9,10.9,False,
2025-11-02 02:00:00,9.2,,True,
2025-11-02 03:00:00,5.9,5.9,False,
2025-11-02 04:00:00,7.7,7.7,False,
2025-11-02 05:00:00,7.3,7.3,False,
2025-11-02 06:00:00,6.9,,True,
2025-11-02 07:00:00,8.0,8.0,False,
2025-11-02 08:00:00,3.9,3.9,False,
2025-11-02 09:00:00,4.6,4.6,False,
2025-11-02 10:00:00,4.9,,True,
2025-11-02 11:00:00,9.3,9.3,False,
2025-11-02 12:00:00,9.0,9.0,False,
2025-11-02 13:00:00,5.6,5.6,False,
2025-11-02 14:00:00,8.9,8.9,False,
2025-11-02 15:00:00,7.2,7.2,False,
2025-11-02 16:00:00,6.2,6.2,False,
2025-11-02 17:00:00,4.2,4.2,False,
2025-11-02 18:00:00,6.7,,True,
2025-11-02 19:00:00,9.1,9.1,False,
2025-11-02 20:00:00,10.1,10.1,False,
2025-11-02 21:00:00,10.1,10.1,False,
2025-11-02 22:00:00,8.9,8.9,False,
2025-11-02 23:00:00,7.2,7.2,False,
2025-11-03 00:00:00,8.0,,True,11.709042979776859
2025-11-03 01:00:00,9.4,9.4,False,11.034620097279548
2025-11-03 02:00:00,8.4,8.4,False,10.404524870216846
2025-11-03 03:00:00,5.2,5.2,False,9.853659346699715
2025-11-03 04:00:00,9.3,9.3,False,9.502334497869015
2025-11-03 05:00:00,7.2,,True,9.623436117172242
2025-11-03 06:00:00,4.4,,True,10.453719404339791
2025-11-03 07:00:00,7.5,,True,11.706248004734517
2025-11-03 08:00:00,8.6,8.6,False,11.482735148072242
2025-11-03 09:00:00,8.5,,True,11.428837271034718
2025-11-03 10:00:00,7.2,7.2,False,11.464819195866585
2025-11-03 11:00:00,4.4,4.4,False,11.636837205290794
2025-11-03 12:00:00,6.2,6.2,False,11.84492363780737
2025-11-03 13:00:00,9.5,9.5,False,11.635539731383323
2025-11-03 14:00:00,9.1,9.1,False,11.113694374263288
2025-11-03 15:00:00,4.9,,True,10.51904721558094
2025-11-03 16:00:00,6.6,6.6,False,9.308545957505704
2025-11-03 17:00:00,7.5,,True,7.4444695871323345
2025-11-03 18:00:00,8.5,8.5,False,5.040425460413098
2025-11-03 19:00:00,10.5,10.5,False,2.731164843589067
2025-11-03 20:00:00,13.6,,True,1.6184451386332508
2025-11-03 21:00:00,14.6,14.6,False,2.1050833385437726
2025-11-03 22:00:00,10.2,10.2,False,2.356770976260304
2025-11-03 23:00:00,4.9,4.9,False,2.743564842268824
2025-11-04 00:00:00,6.1,6.1,False,2.9631710860878226
2025-11-04 01:00:00,8.8,,True,3.27666713707149
2025-11-04 02:00:00,9.4,9.4,False,3.8415311876684424
2025-11-04 03:00:00,9.0,,True,4.679073908925056
2025-11-04 04:00:00,7.8,7.8,False,5.359881444275379
2025-11-04 05:00:00,6.4,6.4,False,5.690293480269611
2025-11-04 06:00:00,6.8,,True,5.814424565993249
2025-11-04 07:00:00,7.8,,True,5.823410079628229
2025-11-04 08:00:00,5.4,,True,5.666804641112686
2025-11-04 09:00:00,7.9,7.9,False,5.381871261820197
2025-11-04 10:00:00,8.0,8.0,False,5.182064165733754
2025-11-04 11:00:00,5.4,5.4,False,4.8835340032353995
2025-11-04 12:00:00,4.8,,True,4.4678014008328315
2025-11-04 13:00:00,6.3,,True,4.005305845290422
2025-11-04 14:00:00,8.4,8.4,False,3.537586943618953
2025-11-04 15:00:00,10.0,,True,3.4153687871992586
2025-11-04 16:00:00,6.5,6.5,False,3.5829370355233547
2025-11-04 17:00:00,6.6,,True,3.7904816713184117
2025-11-04 18:00:00,6.3,6.3,False,3.9741813383996485
2025-11-04 19:00:00,8.4,8.4,False,4.274333343282342
2025-11-04 20:00:00,11.9,11.9,False,4.5959152922034265
2025-11-04 21:00:00,13.1,,True,5.15033771879971
2025-11-04 22:00:00,14.5,,True,5.404947375878692
2025-11-04 23:00:00,11.0,11.0,False,5.240657445415854
2025-11-05 00:00:00,8.2,,True,5.050875193625688
2025-11-05 01:00:00,4.8,4.8,False,5.354242163151502
2025-11-05 02:00:00,8.1,8.1,False,6.080945303849876
2025-11-05 03:00:00,8.4,8.4,False,6.839232473447919
2025-11-05 04:00:00,5.7,,True,7.47416315600276
