,PM25_complete,PM25_with_gaps,gap_mask,PM25_repaired
2025-11-02 00:00:00,9.3,9.3,False,
2025-11-02 01:00:00,10.9,10.9,False,
2025-11-02 02:00:00,9.2,9.2,False,
2025-11-02 03:00:00,5.9,5.9,False,
2025-11-02 04:00:00,7.7,7.7,False,
2025-11-02 05:00:00,7.3,7.3,False,
2025-11-02 06:00:00,6.9,6.9,False,
2025-11-02 07:00:00,8.0,8.0,False,
2025-11-02 08:00:00,3.9,3.9,False,
2025-11-02 09:00:00,4.6,4.6,False,
2025-11-02 10:00:00,4.9,4.9,False,
2025-11-02 11:00:00,9.3,9.3,False,
2025-11-02 12:00:00,9.0,9.0,False,
2025-11-02 13:00:00,5.6,5.6,False,
2025-11-02 14:00:00,8.9,8.9,False,
2025-11-02 15:00:00,7.2,7.2,False,
2025-11-02 16:00:00,6.2,6.2,False,
2025-11-02 17:00:00,4.2,4.2,False,
2025-11-02 18:00:00,6.7,6.7,False,
2025-11-02 19:00:00,9.1,9.1,False,
2025-11-02 20:00:00,10.1,10.1,False,
2025-11-02 21:00:00,10.1,10.1,False,
2025-11-02 22:00:00,8.9,8.9,False,
2025-11-02 23:00:00,7.2,7.2,False,
2025-11-03 00:00:00,8.0,8.0,False,7.729045009613037
2025-11-03 01:00:00,9.4,9.4,False,8.2244275867939
2025-11-03 02:00:00,8.4,8.4,False,8.497474825382232
2025-11-03 03:00:00,5.2,5.2,False,8.61950642466545
2025-11-03 04:00:00,9.3,9.3,False,8.631935185194015
2025-11-03 05:00:00,7.2,7.2,False,8.923682904243469
2025-11-03 06:00:00,4.4,4.4,False,9.157135552167892
2025-11-03 07:00:00,7.5,7.5,False,9.202750033140182
2025-11-03 08:00:00,8.6,8.6,False,9.31638485789299
2025-11-03 09:00:00,8.5,8.5,False,9.384642308950424
2025-11-03 10:00:00,7.2,7.2,False,9.405974215269088
2025-11-03 11:00:00,4.4,4.4,False,9.351579791307449
2025-11-03 12:00:00,6.2,6.2,False,9.189972585439682
2025-11-03 13:00:00,9.5,9.5,False,8.984452104568481
2025-11-03 14:00:00,9.1,9.1,False,8.856666779518127
2025-11-03 15:00:00,4.9,4.9,False,8.981141126155853
2025-11-03 16:00:00,6.6,6.6,False,9.035346096754074
2025-11-03 17:00:00,7.5,7.5,False,9.224271780252456
2025-11-03 18:00:00,8.5,8.5,False,9.556220805644989
2025-11-03 19:00:00,10.5,10.5,False,9.825298434495926
2025-11-03 20:00:00,13.6,13.6,False,10.312228059768676
2025-11-03 21:00:00,14.6,14.6,False,10.908373093605041
2025-11-03 22:00:00,10.2,10.2,False,11.329694128036499
2025-11-03 23:00:00,4.9,4.9,False,10.648400461673736
2025-11-04 00:00:00,6.1,6.1,False,9.053633576631546
2025-11-04 01:00:00,8.8,8.8,False,8.217948204278946
2025-11-04 02:00:00,9.4,9.4,False,7.92099962234497
2025-11-04 03:00:00,9.0,9.0,False,7.80649579167366
2025-11-04 04:00:00,7.8,7.8,False,8.03752583861351
2025-11-04 05:00:00,6.4,6.4,False,8.98438469171524
2025-11-04 06:00:00,6.8,6.8,False,9.093560969829559
2025-11-04 07:00:00,7.8,7.8,False,9.092473065853119
2025-11-04 08:00:00,5.4,5.4,False,9.034809893369674
2025-11-04 09:00:00,7.9,7.9,False,8.84659863114357
2025-11-04 10:00:00,8.0,8.0,False,8.758583790063858
2025-11-04 11:00:00,5.4,5.4,False,8.677900290489196
2025-11-04 12:00:00,4.8,4.8,False,8.519237941503524
2025-11-04 13:00:00,6.3,6.3,False,8.38437077999115
2025-11-04 14:00:00,8.4,8.4,False,8.308035796880722
2025-11-04 15:00:00,10.0,10.0,False,8.355414247512817
2025-11-04 16:00:00,6.5,6.5,False,8.487925833463668
2025-11-04 17:00:00,6.6,6.6,False,8.642783617973327
2025-11-04 18:00:00,6.3,6.3,False,8.846037244796753
2025-11-04 19:00:00,8.4,8.4,False,9.066577619314193
2025-11-04 20:00:00,11.9,11.9,False,9.315440303087234
2025-11-04 21:00:00,13.1,13.1,False,10.131880855560302
2025-11-04 22:00:00,14.5,14.5,False,10.855860805511474
2025-11-04 23:00:00,11.0,11.0,False,11.323236441612243
2025-11-05 00:00:00,8.2,8.2,False,11.181244826316833
2025-11-05 01:00:00,4.8,4.8,False,10.771156167984008
2025-11-05 02:00:00,8.1,8.1,False,10.422791337966919
